kind,run,exit,elapsed_ns
seam,278,0,797075
seam,279,0,856302
seam,280,0,794835
seam,281,0,823724
seam,282,0,809554
seam,283,0,1002138
seam,284,0,808184
seam,285,0,804624
seam,286,0,803684
seam,287,0,810224
seam,288,0,825714
seam,289,0,795944
seam,290,0,970239
seam,291,0,818034
seam,292,0,810974
seam,293,0,808775
seam,294,0,816214
seam,295,0,788995
seam,296,0,806225
seam,297,0,803665
seam,298,0,799015
seam,299,0,857813
seam,300,0,834103
seam,301,0,855652
seam,302,0,799245
seam,303,0,810684
seam,304,0,800545
seam,305,0,973979
seam,306,0,800834
seam,307,0,808444
seam,308,0,810574
seam,309,0,876352
seam,310,0,792275
seam,311,0,1188752
seam,312,0,816224
seam,313,0,1021917
seam,314,0,928691
seam,315,0,839933
seam,316,0,818754
seam,317,0,806394
seam,318,0,805534
seam,319,0,831073
seam,320,0,816114
seam,321,0,860582
seam,322,0,808385
seam,323,0,819264
seam,324,0,807434
seam,325,0,831383
seam,326,0,808464
seam,327,0,798145
seam,328,0,805445
seam,329,0,798435
seam,330,0,853063
seam,331,0,820344
seam,332,0,805265
seam,333,0,798924
seam,334,0,791865
seam,335,0,816144
seam,336,0,801605
seam,337,0,798854
seam,338,0,792365
seam,339,0,788215
seam,340,0,798135
seam,341,0,808114
seam,342,0,881762
seam,343,0,801304
seam,344,0,809704
seam,345,0,801655
seam,346,0,797754
seam,347,0,790685
seam,348,0,796974
seam,349,0,798344
seam,350,0,801735
seam,351,0,806004
seam,352,0,801724
seam,353,0,795935
seam,354,0,807044
seam,355,0,857413
seam,356,0,796974
seam,357,0,788875
seam,358,0,793415
seam,359,0,853702
seam,360,0,810674
seam,361,0,814884
seam,362,0,792285
seam,363,0,2151201
seam,364,0,791415
seam,365,0,838884
seam,366,0,793715
seam,367,0,794404
seam,368,0,788414
seam,369,0,856603
seam,370,0,787845
seam,371,0,785135
seam,372,0,789145
seam,373,0,790895
seam,374,0,794074
seam,375,0,781675
seam,376,0,878212
seam,377,0,790535
seam,378,0,789975
seam,379,0,789605
seam,380,0,846813
seam,381,0,781035
seam,382,0,799825
seam,383,0,1283259
seam,384,0,793555
seam,385,0,798875
seam,386,0,787024
seam,387,0,791465
seam,388,0,832563
seam,389,0,790185
seam,390,0,786285
seam,391,0,787405
seam,392,0,779135
seam,393,0,815494
seam,394,0,798364
seam,395,0,791975
seam,396,0,802815
seam,397,0,864023
seam,398,0,792684
seam,399,0,788595
seam,400,0,797695
seam,401,0,792445
seam,402,0,786765
seam,403,0,793375
seam,404,0,959999
seam,405,0,829664
seam,406,0,821383
seam,407,0,810874
seam,408,0,779315
seam,409,0,788205
seam,410,0,792475
seam,411,0,855902
seam,412,0,796675
seam,413,0,799804
seam,414,0,797285
seam,415,0,858553
seam,416,0,795604
seam,417,0,799665
seam,418,0,790404
seam,419,0,782005
seam,420,0,783145
seam,421,0,796714
seam,422,0,844073
seam,423,0,797905
seam,424,0,806724
seam,425,0,793935
seam,426,0,850343
seam,427,0,790205
seam,428,0,821003
seam,429,0,791934
seam,430,0,791235
seam,431,0,788495
seam,432,0,791474
seam,433,0,950540
seam,434,0,983918
seam,435,0,846683
seam,436,0,821023
seam,437,0,976239
seam,438,0,821024
seam,439,0,802044
seam,440,0,808684
seam,441,0,802874
seam,442,0,803185
seam,443,0,804174
seam,444,0,791995
seam,445,0,847933
seam,446,0,802064
seam,447,0,798105
seam,448,0,797764
seam,449,0,875242
seam,450,0,795934
seam,451,0,793845
seam,452,0,789514
seam,453,0,796955
seam,454,0,789485
seam,455,0,796775
seam,456,0,791245
seam,457,0,845343
seam,458,0,805684
seam,459,0,796275
seam,460,0,794954
seam,461,0,793455
seam,462,0,802415
seam,463,0,792185
seam,464,0,798175
seam,465,0,795594
seam,466,0,807094
seam,467,0,808454
seam,468,0,816314
seam,469,0,814784
seam,470,0,802464
seam,471,0,1249360
seam,472,0,850713
seam,473,0,805254
seam,474,0,797975
seam,475,0,853843
seam,476,0,802764
seam,477,0,805224
seam,478,0,798224
seam,479,0,864352
seam,480,0,801905
seam,481,0,793765
seam,482,0,813174
seam,483,0,852723
seam,484,0,801334
seam,485,0,791034
seam,486,0,795805
seam,487,0,1146624
seam,488,0,829204
seam,489,0,792874
seam,490,0,787475
seam,491,0,790825
seam,492,0,785905
seam,493,0,794425
seam,494,0,801625
seam,495,0,797384
seam,496,0,843424
seam,497,0,798224
seam,498,0,790185
seam,499,0,791315
seam,500,0,789505
seam,501,0,788325
seam,502,0,789245
seam,503,0,791864
seam,504,0,789295
seam,505,0,835283
seam,506,0,794445
seam,507,0,791255
seam,508,0,794365
seam,509,0,786115
seam,510,0,871862
seam,511,0,788755
seam,512,0,793255
seam,513,0,782905
seam,514,0,793574
seam,515,0,789095
seam,516,0,787965
seam,517,0,787715
seam,518,0,847543
seam,519,0,803535
seam,520,0,787394
seam,521,0,789684
seam,522,0,1217352
seam,523,0,846363
seam,524,0,801114
seam,525,0,788795
seam,526,0,788635
seam,527,0,860753
seam,528,0,785855
seam,529,0,785945
seam,530,0,789145
seam,531,0,781295
seam,532,0,797815
seam,533,0,794564
seam,534,0,793105
seam,535,0,790505
seam,536,0,909591
seam,537,0,787795
seam,538,0,796164
seam,539,0,787485
seam,540,0,799715
seam,541,0,785594
seam,542,0,787885
seam,543,0,785925
seam,544,0,851543
seam,545,0,790055
seam,546,0,792565
seam,547,0,791695
seam,548,0,794564
seam,549,0,861302
seam,550,0,783345
seam,551,0,794915
seam,552,0,790584
seam,553,0,784145
seam,554,0,786735
seam,555,0,788464
seam,556,0,784065
seam,557,0,791805
seam,558,0,859133
seam,559,0,792364
seam,560,0,794125
seam,561,0,1002138
seam,562,0,985689
seam,563,0,830683
seam,564,0,789604
seam,565,0,858133
seam,566,0,790375
seam,567,0,789725
seam,568,0,778175
seam,569,0,845843
seam,570,0,798595
seam,571,0,788035
seam,572,0,838774
seam,573,0,794914
seam,574,0,785925
seam,575,0,835894
seam,576,0,844513
seam,577,0,878102
seam,578,0,802504
seam,579,0,797415
seam,580,0,793574
seam,581,0,1019978
seam,582,0,846063
seam,583,0,792214
seam,584,0,966710
seam,585,0,799654
seam,586,0,784995
seam,587,0,786205
seam,588,0,1205262
seam,589,0,841493
seam,590,0,800675
seam,591,0,791505
seam,592,0,804904
seam,593,0,844383
seam,594,0,784455
seam,595,0,791065
seam,596,0,776295
seam,597,0,782605
seam,598,0,792315
seam,599,0,804025
seam,600,0,797694
seam,601,0,797045
seam,602,0,958749
seam,603,0,802455
seam,604,0,793285
seam,605,0,1392126
seam,606,0,1030327
seam,607,0,879432
seam,608,0,840144
seam,609,0,814294
seam,610,0,818854
seam,611,0,811064
seam,612,0,858453
seam,613,0,808044
seam,614,0,802674
seam,615,0,808954
seam,616,0,892481
seam,617,0,801725
seam,618,0,799015
seam,619,0,805544
seam,620,0,863822
seam,621,0,804624
seam,622,0,791705
seam,623,0,804164
seam,624,0,798175
seam,625,0,803864
seam,626,0,796115
seam,627,0,864012
seam,628,0,793245
seam,629,0,829984
seam,630,0,796464
seam,631,0,787995
seam,632,0,1220551
seam,633,0,835313
seam,634,0,795015
seam,635,0,793915
seam,636,0,816504
seam,637,0,796624
seam,638,0,795465
seam,639,0,793685
seam,640,0,798554
seam,641,0,779145
seam,642,0,805514
seam,643,0,785145
seam,644,0,790065
seam,645,0,795374
seam,646,0,793825
seam,647,0,796185
seam,648,0,794114
seam,649,0,791155
seam,650,0,857143
seam,651,0,798085
seam,652,0,789815
seam,653,0,789785
seam,654,0,838813
seam,655,0,796615
seam,656,0,792544
seam,657,0,974259
seam,658,0,785925
seam,659,0,784075
seam,660,0,802964
seam,661,0,791935
seam,662,0,798535
seam,663,0,781205
seam,664,0,782675
seam,665,0,790235
seam,666,0,842723
seam,667,0,789005
seam,668,0,795375
seam,669,0,789285
seam,670,0,1004888
seam,671,0,965340
seam,672,0,826104
seam,673,0,803004
seam,674,0,792525
seam,675,0,911401
seam,676,0,811294
seam,677,0,794965
seam,678,0,798594
seam,679,0,789735
seam,680,0,797505
seam,681,0,789855
seam,682,0,796914
seam,683,0,864443
seam,684,0,805664
seam,685,0,792735
seam,686,0,801564
seam,687,0,1185003
seam,688,0,850613
seam,689,0,844653
seam,690,0,833533
seam,691,0,820214
seam,692,0,808614
seam,693,0,814034
seam,694,0,811304
seam,695,0,880832
seam,696,0,797875
seam,697,0,806155
seam,698,0,792524
seam,699,0,839673
