1	0	1784452092384913086	1784452098426296831
2	0	1784452098426718858	1784452104455137437
3	0	1784452104455551054	1784452110519483973
4	0	1784452110519880841	1784452116554276357
5	0	1784452116554683685	1784452122611627713
6	0	1784452122612497056	1784452128662167152
7	0	1784452128662588479	1784452134702902666
8	0	1784452134703405170	1784452140760288445
9	0	1784452140760690673	1784452146787354026
10	0	1784452146787765873	1784452152835255992
11	0	1784452152835658730	1784452158874042893
12	0	1784452158874568376	1784452164929906354
13	0	1784452164930462327	1784452170965946302
14	0	1784452170966581013	1784452177029281095
15	0	1784452177029981043	1784452183070881253
16	0	1784452183071473325	1784452189111783515
17	0	1784452189112422565	1784452195166281675
18	0	1784452195166855037	1784452201229535736
19	0	1784452201230151107	1784452207261193487
20	0	1784452207261740460	1784452213292727874
21	0	1784452213293304646	1784452219363186805
22	0	1784452219363819435	1784452225392861641
23	0	1784452225393489112	1784452231468720147
24	0	1784452231469301159	1784452237537481364
25	0	1784452237538093145	1784452243563512277
