role	object_role	object_id	observed_type
captured-head	commit	6bdd77f13cf11b264b4231d320afc404f48d576e	commit
captured-head	tree	f926dfb4c3315e288b83bc1c3b167d4f7ca451d6	tree
captured-head	parent	86d86ed4396b4130922f7b9af26e3d9fc11a591b	commit
wiki-upstream-control	commit	788e07dc91d266ad3162a1ce9037665656269689	commit
wiki-upstream-control	tree	e37a1764d53553379bb39bb52c25c00ce21ced08	tree
wiki-upstream-control	parent	0bd0ec60998d0f71ec45471b633bf2403ac81956	commit
donor-comparison-parent	commit	92366df30d4eaa4b85139b5fd694360237731b19	commit
donor-comparison-parent	tree	2a9a8f997e8315566940b421de84730c7f34fda0	tree
donor-comparison-parent	parent	a646006f09d2f76f2d62d6c0d5e8e8490d570720	commit
