2026-07-19T04:12:15,373616196-07:00	traversal-root-5	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,377835287-07:00	traversal-fixture-6	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,382062827-07:00	traversal-root-7	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,386766693-07:00	traversal-fixture-8	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,390793550-07:00	traversal-root-9	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,394937153-07:00	traversal-fixture-10	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,398933701-07:00	traversal-root-11	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,403124513-07:00	traversal-fixture-12	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,407542807-07:00	traversal-root-13	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,411950943-07:00	traversal-fixture-14	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,416755516-07:00	traversal-root-15	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,421088603-07:00	traversal-fixture-16	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,425413251-07:00	traversal-root-17	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,429784787-07:00	traversal-fixture-18	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,433935060-07:00	traversal-root-19	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,438237578-07:00	traversal-fixture-20	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,442386561-07:00	traversal-root-21	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root/../candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
2026-07-19T04:12:15,446459277-07:00	traversal-fixture-22	pid=1912111	/var/tmp/halofpx-l05s-compile-smoke-20260719/cmake-build-v1/bin/test-halofpx-context-store-registry-lab-linux-preinit --launch-qualify invalid_request /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent 131 257 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/candidate-root 131 258 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d /var/tmp/halofpx-l05s-attack-20260719T2140-nimo2/main-mount/lab-parent/fixture/../fixture 131 259 250 1000 700 dc3e46b4b44d4ca4a038e12692aa6824 7c410c89ad884edf98cd8e26b198452d 131 261 halofpx-l05s-attack-nimo2 1 
