role	revision	category	path	mode	git_object	sha256_raw_blob	size_bytes
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/docker.yml	100644	7bd740cfcbf9aa45d4cfeaf47ae0fb997c7c4fec	f8bebaba6f937cf488f85e730ae0b0ca6ce019f54aa1044289b867a2c692510a	16649
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/editorconfig.yml	100644	53f6a0ccfda457aa8855802bfc7a5f2e984f8d86	9feb99aef86497e60b08d416dc48ffd3779bc95dee2307ab2f61438e49ad28f8	569
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/gguf-publish.yml	100644	fb8eab3cdb3b6a43bff2cde051ed456179689c09	1f9d258b27e7b04e182f2a2c5da650772b73113c8345ab41486e02451454489c	1272
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/hip-quality-check.yml	100644	4a9e5a298a7bd4f4c1904d26c0ee8eafdb16f53d	677c4d7ee6be049030c76b3adca0f56dacd597cb7ffb78708ea308eb1bb28970	2386
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/labeler.yml	100644	eab20c68811e044894e29cd2793de40bc357559a	3516e2909e7b9b60346b6804aa7d94040c95538668474a516e710539553ec799	352
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/pre-tokenizer-hashes.yml	100644	7126b62b690bb288677e434dd72f36af72166c2b	e0f2991a7303dbef32dbcc5ffdf69ded6d165dd7103a91a17ce9e4f167d93d1f	1606
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/python-check-requirements.yml	100644	1219b87459272c381f21f4fec907e6bbe1054447	200b3c5a5816bf8b8c6e905a022248091b75597dc8f8b2163b7945372b321d19	914
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/python-lint.yml	100644	3035e1063c5a9f05b183d0aa87739ce3218ca86a	9354d17e5e6ae1985e682e33688502832a271f9db15687af3f910100151a4831	931
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/python-type-check.yml	100644	23784c50a9e2278826704a2701b187e3fafae089	22bb1da143c7c57817e2505de8382a8affd3c328ca862f22770f5955016d664b	1242
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/release.yml	100644	8b01798ae789a76370a01c2c2f8d7c73df8cdb7b	be4a6c379d75eb843b442301a3b8f380605541bc8ae1b11ecfb6babdd8c7339d	52844
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/server-sanitize.yml	100644	4c9f447cf8b708fbf275a93971383ee24e672a24	07daeb70c790646528be6d2450f6ac5fe8e9ce697776c8f7837e0c91a354ed0d	3026
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/server-self-hosted.yml	100644	117c79c2f8748a45cd183695b135182b4f7f75db	f3fa2e89132a9bee92347ef17f3ea62210d87c447368196812b4ffb8bd2dcf54	3997
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/server-webui.yml	100644	72c2016efe798a219b01bb97d2e62f943033f709	c713e33dea939b458bd2fc5ab2672da94f0fe1c6c40c580efbc20ed0b2ae323f	4213
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/server.yml	100644	f12e7b7366ffc35ee6a580d71cfd462d2b7719f5	38aa52e0b80cde969a93cc3dea6bd018f8105171ffb6409ac1bd40bfdfbf09fa	4914
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/update-ops-docs.yml	100644	2ab06eb9811d048f4fc23622b6c29a1f6c86a597	5fb90da5fd7e8abcae2425cc03b81ed9dcb7f9d1edf8154c578af1a55ebb3060	1351
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/webui-build.yml	100644	7f512a69d3dcfcaba022c089af8fc5afca7b44a4	5c89c2aea09b904bfc3ea1362e8a15320363956212a050c982d97e0453eef88d	1029
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/webui-publish.yml	100644	bf0d707a23e33a6e65593cd4786afcd5bc6e49e3	7556705356f96eef1b3cd60ae799fda0f996dfd79890bd8ce3119fe4d5bf5e93	2285
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	ci-container-input	.github/workflows/winget.yml	100644	420a98f903b0db7be291dbbdb6a045b68bd434fb	34612fafcc435586abea4840d60071a866154223f218de6c82364ddfac958ecf	1556
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	build-or-source-lock-input	.gitmodules	100644	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	CMakeLists.txt	100644	244f4cb4982509afa1f467d844667c0ee4949395	919e15372024f8401781111b0820adbf73e83d4e814f13b3091e37b8ffd72d08	9666
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	CMakePresets.json	100644	1b1d621f5dd2b0dcafd6fc494f57ddec43fb180d	081dd1d699de4deae5a8c5e022e17d3e7108e271e839c7f7aff1e35441543123	5323
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	license-or-notice	LICENSE	100644	e7dca554bcb802f98408383a864404e3aa4eacca	94f29bbed6a22c35b992c5c6ebf0e7c92f13b836b90f36f461c9cf2f0f1d010d	1078
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	build-system-input	Makefile	100644	bcbc7702059566c8e23bcaf73e12caff9b7dac8e	81cf8d21005a58822cdf457f1caab1da5f02d34ddcaa75e871b32f05e3e52efe	257
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	license-or-notice	THIRD_PARTY_NOTICES.md	100644	4b2f877fe5011ac7eca70b5409a1cb7b032109ea	038b892fb3e926f9f85c3256554f1e74c7a6fab023574ad5869aa389dcf45729	1372
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	build-or-source-lock-input	build-xcframework.sh	100755	180c01a88e949edbe4be9f862d1cd56a369194fa	97b7d7ba87246fbc4911464be25f1874f175d0711d328e8aabac2a434f21a8b5	21688
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/arm64-apple-clang.cmake	100644	5fcd2882afc9d96ccc1c28396b91e5e46c93f66c	80d01144241c7a45d1c35461aab1256364f8c7e714c3401a8097a567a8179e03	555
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/arm64-linux-clang.cmake	100644	f16e280ec6609c13ad1546b7a0cd97ee07e37776	feb7bd04443531e2287638c23a8d1873203d72a2da95e03f9c28433b27e24bd1	587
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/arm64-windows-llvm.cmake	100644	8023796800683240e32048180a1eb874ddab1963	12be8ba361b88d1a12cf28970da526f98c0f9b17103c2aa0c0b49ee7fa496a48	592
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/build-info.cmake	100644	c7005950c5612d1d93ca728386b10806b0043106	d5cb300d2a3665eac85370617853a143a4f4a7884977f83d0635b18699f93eee	1319
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/common.cmake	100644	bcf403e0ee3773737d9bc1918863ac5e91b76d4c	ff633f84fb707c51d3aa1f9c898886db5e16905ffce9df15338eef4fabcd77f7	2044
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/download-models.cmake	100644	de252906a01fbcf2d2a3cf538d2f683c48420dbd	6cf1368093d7207c5ddd40f8c9841e50621b71e57d2fd0c13afda3b84a973eb0	505
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/git-vars.cmake	100644	1a4c24ebf6adeb1126e626f56de601621179353d	411507be4e991f2afc0007905a95bbf848176a282189d0e27d7df1d48974290d	717
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	license-or-notice	cmake/license.cmake	100644	de066603ba5e99d0ae4633647e69ef435f6824fd	083515dff8a9b8696e348c7c616934e53941a7db30e1b3f092576632e9a2d1d4	1445
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/llama-config.cmake.in	100644	90cbec5b6f1331b9149a5ae3aa03fea45d69246d	908f54308047bac0960f049458aa6874e5b5080ff0b81a30b3d56e88ea7e49a6	979
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/llama.pc.in	100644	6fb58b5f6881b7f204d9094a8f2d3ed1d93906c2	0d720145be0f415d5381ac58cc6878398357bee7ce83012b50668de666534eff	311
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/riscv64-spacemit-linux-gnu-gcc.cmake	100644	faed7fb7831a48d76202ab83ad44f8eccdc23f25	6a2ef73adf92ed68c38820b7503d3e423f27c426306ef4cfaea5d88b4eb51cb8	1463
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	cmake/x64-windows-llvm.cmake	100644	77e79140798b2fcee2d84a3abdeab315c08b7a03	416e1385f9ac92ff29e2158da8b1894ae2cfccc3bb024eb46c3b937cb42477a8	139
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	common/CMakeLists.txt	100644	1a56c25857fa6b565764253b957b76512bbdcf92	6480c353782a3b1df3bdb64eb20b2e968d342f31180f347dac2635b81f7b7354	4692
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/CMakeLists.txt	100644	259db1c90f2895c6e32f7c983a04d778693d798b	301b64b5a65933037b8c8198e706bccbc7fc327a3dec63c99323dc09ca915841	1131
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	build-system-input	examples/batched.swift/Makefile	100755	1f9156e583fdda26611fcc9c53dfe57517a50da8	fb84da2c51818364999fb74036930f3a236498fee74373128a00f9abb58bed20	230
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/batched/CMakeLists.txt	100644	1d7c2a0f6e7fce160d0f2f6fd663b44fea963c24	c7fdbb56aa7daca62ac30b202309e77c1738252fa27dd97463cc04178dd28b5d	239
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/convert-llama2c-to-ggml/CMakeLists.txt	100644	2162da4fdf766928cd9864cfa657e2d29eeb70e6	979f8e1641b53b6fa29afebce017091e061914ae5f5fcdf5b6c687dd94d37645	271
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/debug/CMakeLists.txt	100644	fb1c7e258147017d90538d9b2e3297d79287c344	71624de72a3fc484849b4f2b696d5429cdff31468a805484d7ad6ad7ec88f80f	235
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/diffusion-gemma-eval/CMakeLists.txt	100644	7a99b8423a1dfe80ddecea8f2cc5d97046965eed	27e0bf011d1c98708ecfc23aa7bb50225d1203ff2afe31d7e9ba0843d396b35d	252
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/diffusion-gemma-server/CMakeLists.txt	100644	0b1b020fef8fddf8cd1b48c1e15bda9a30569e6b	8550a4f6947f9a3a5c945e89ddc1ad1cfe5d7d4db4ae683e1e59d9dc5c12c924	256
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/diffusion/CMakeLists.txt	100644	42a84b2dfe5f724fa0f62144027223518b6a325a	8c8a32992a7797996c026922d463da85cd1a938c56480484af2704533e871ecf	490
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/embedding/CMakeLists.txt	100644	0634c7bd8202cb41b5fcc2f7810afa29b3c11d8d	1cf460f35453625d5399d6b9d115f56ee8e388a0fc0939b0e6e95ac2e6216c56	243
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/eval-callback/CMakeLists.txt	100644	63fbe59dce87dd27735e200c677e5626f2a8e86e	54854a0829f124a242d79b0f942bf4e2119ae98bc869f20be097c6c998a601af	1320
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/gen-docs/CMakeLists.txt	100644	aa68cbd78a8644bf68bd402b5d9cc2740e58ddb1	1a51f5893ace277af6164ac6501e5574bf7c1bb59092d3e66f5a63b7406ea710	241
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/gguf-hash/CMakeLists.txt	100644	15c5c68c6f402f1ac9a81555a16c81ba87794163	f52b81f7084fa7fbb5e21b63637df1cee398ebde60a9284cefba974ae37bcb00	728
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	dependency-input	examples/gguf-hash/deps/rotate-bits/package.json	100644	74c0bef68d8bd32828a0d8c204549a72a51a903a	4627415dc3410ba88c7b1015875a717a2e23441972fef9b33d0539527b2760ba	255
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	dependency-input	examples/gguf-hash/deps/sha1/package.json	100644	6a5843dd1ef46c21599b4f75e95a088907351abd	47560382d1e2074c48c08ba36dddcbc6043f0eb372aa4617e5773305eb3bf852	200
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	dependency-input	examples/gguf-hash/deps/sha256/package.json	100644	b92a0412738dfb495cd859c5d94fb45413755bbd	674f1b5d34a7eb827115875774222ce30d5c79cb59101477dc74a18e83cd8773	283
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/gguf/CMakeLists.txt	100644	fb04eb83f34ce16059d0e56fbd1759849e873741	88385c090deb2b2778f539ac346a8d352a66613352165e6fbc1eea5aa9df28a6	219
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/idle/CMakeLists.txt	100644	c0fedbbff5bde2f49c991397053f759df13a6a38	d5bb9f24883b5c75f6aaa9909b1ca8e2c74ab8572516fbb1f2fc3d992b77118e	233
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/llama.android/lib/src/main/cpp/CMakeLists.txt	100644	20c9e3b2c1fdf5bcac0c5a1d5615e60352d00a98	5730e1d299185cfa893d3923aa1f2bf9da401bb9e2ffa8663337ab228e39e442	1658
implementation-candidate	61f2f2d7bc4955e9bca821095ef69125837133b5	cmake-input	examples/lookahead/CMakeLists.txt	100644	5d6e604fa981dbbd01b2c9bfab5f0103a225414e	3235a9270094d67bfda33c3c0ac5fce981de35d33fdc8d8446775d224deca47d	243
